attention_rank,content_id,creator,content_type,caption,views,total_watch_seconds,avg_completion_pct
1,104,nina.travel,Reel,Chicago sunset walk,4,140,83.35
2,111,daniel.photo,Reel,Street photography tips,4,135,75.00
3,101,bella.fit,Reel,Morning workout routine,4,120,85.70
4,106,mike.foodie,Reel,Easy breakfast bowl,5,114,81.42
5,109,emily.study,Reel,Desk reset in 30 seconds,4,99,82.50
6,113,techdaily,Reel,Budget tech desk setup,3,92,80.70
7,115,freshwear.co,Reel,Outfit transition idea,4,88,91.68
8,102,cafe.blue,Post,New spring drink is here,5,75,100.00
9,107,freshwear.co,Post,Freshwear weekend drop,3,67,100.00
10,105,daniel.photo,Post,Film photo from campus,3,63,100.00
