creator,account_type,content_created,total_views,total_watch_seconds,total_likes,total_comments,watch_seconds_per_content
daniel.photo,creator,2,7,198,7,5,99.00
freshwear.co,business,2,7,155,9,4,77.50
nina.travel,creator,2,5,150,6,4,75.00
emily.study,personal,2,7,135,7,2,67.50
bella.fit,creator,1,4,120,6,3,120.00
mike.foodie,creator,1,5,114,4,2,114.00
cafe.blue,business,2,7,97,7,4,48.50
techdaily,business,1,3,92,4,2,92.00
campus.life,personal,1,3,56,3,3,56.00
ava.artist,personal,1,2,32,2,1,32.00
